polygon,probability,port,wkt,closest_terminal,distance_to_closest_terminal,geometry,port_code,distance_to_nearest_container,terminal_name,latitude_custom,longitude_custom,geometry_costums_office,terminal,country,closet_terminal_general,center_point,center_lat,center_lon,numero_polygone,adresse_google,color,name_zone,on_water
"[(53.50332038039036, 9.93457041345761), (53.503541151776155, 9.934554547027728), (53.50354329582571, 9.934839457335835), (53.503322524439916, 9.934855323765717)]",0.9611497,DEHAM-CTA,"POLYGON ((9.93457041345761 53.50332038039036,9.934554547027728 53.503541151776155,9.934839457335835 53.50354329582571,9.934855323765717 53.503322524439916,9.93457041345761 53.50332038039036))",DEHAM-CTA-OFFR,0.3096625607082638,"POLYGON ((9.93457041345761 53.50332038039036, 9.934554547027728 53.503541151776155, 9.934839457335835 53.50354329582571, 9.934855323765717 53.503322524439916, 9.93457041345761 53.50332038039036))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.934704935396724 53.50343183810803),53.50343183810803,9.934704935396724,20,9F5FGW3M+9V,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50329168011021, 9.933222242910526), (53.50353483668768, 9.933222242910526), (53.50353483668768, 9.93341010144033), (53.50329168011021, 9.93341010144033)]",0.96680206,DEHAM-CTA,"POLYGON ((9.933222242910526 53.50329168011021,9.933222242910526 53.50353483668768,9.93341010144033 53.50353483668768,9.93341010144033 53.50329168011021,9.933222242910526 53.50329168011021))",DEHAM-CTA-OFFR,0.3515637137263964,"POLYGON ((9.933222242910526 53.50329168011021, 9.933222242910526 53.50353483668768, 9.93341010144033 53.50353483668768, 9.93341010144033 53.50329168011021, 9.933222242910526 53.50329168011021))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.933316172175427 53.50341325839894),53.50341325839894,9.933316172175427,21,9F5FGW3M+98,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.504069781158115, 9.934565431398626), (53.50409409681586, 9.934415144574784), (53.50415640568884, 9.934511422071308), (53.50413209003109, 9.93466170889515)]",0.9630002,DEHAM-CTA,"POLYGON ((9.934565431398626 53.504069781158115,9.934415144574784 53.50409409681586,9.934511422071308 53.50415640568884,9.93466170889515 53.50413209003109,9.934565431398626 53.504069781158115))",DEHAM-CTA-OFFR,0.38468064414145,"POLYGON ((9.934565431398626 53.504069781158115, 9.934415144574784 53.50409409681586, 9.934511422071308 53.50415640568884, 9.93466170889515 53.50413209003109, 9.934565431398626 53.504069781158115))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.934538426734969 53.50411309342348),53.50411309342348,9.934538426734969,22,9F5FGW3M+JR,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.501609992393504, 9.936420903304615), (53.501876797615665, 9.936379677492589), (53.50188035059714, 9.936599275212902), (53.50161354537498, 9.936640501024929)]",0.9810676,DEHAM-CTA,"POLYGON ((9.936420903304615 53.501609992393504,9.936379677492589 53.501876797615665,9.936599275212902 53.50188035059714,9.936640501024929 53.50161354537498,9.936420903304615 53.501609992393504))",DEHAM-CTA-OFFR,0.1017083036990368,"POLYGON ((9.936420903304615 53.501609992393504, 9.936379677492589 53.501876797615665, 9.936599275212902 53.50188035059714, 9.936640501024929 53.50161354537498, 9.936420903304615 53.501609992393504))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.936510089258759 53.50174517149533),53.50174517149533,9.936510089258759,23,9F5FGW2P+MJ,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50194776837977, 9.936548634464131), (53.501970302286736, 9.936374541430045), (53.50206266510307, 9.936488714071004), (53.502040131196104, 9.936662807105089)]",0.9277425,DEHAM-CTA,"POLYGON ((9.936548634464131 53.50194776837977,9.936374541430045 53.501970302286736,9.936488714071004 53.50206266510307,9.936662807105089 53.502040131196104,9.936548634464131 53.50194776837977))",DEHAM-CTA-OFFR,0.1305900915364581,"POLYGON ((9.936548634464131 53.50194776837977, 9.936374541430045 53.501970302286736, 9.936488714071004 53.50206266510307, 9.936662807105089 53.502040131196104, 9.936548634464131 53.50194776837977))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.936518674267566 53.50200521674143),53.50200521674143,9.936518674267566,24,9F5FGW2P+RJ,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.499184613543875, 9.932400361842632), (53.4993707802985, 9.932400361842632), (53.4993707802985, 9.933140054803737), (53.499184613543875, 9.933140054803737)]",0.981173,DEHAM-CTA,"POLYGON ((9.932400361842632 53.499184613543875,9.932400361842632 53.4993707802985,9.933140054803737 53.4993707802985,9.933140054803737 53.499184613543875,9.932400361842632 53.499184613543875))",DEHAM-CTA-OFFR,0.2953089992807184,"POLYGON ((9.932400361842632 53.499184613543875, 9.932400361842632 53.4993707802985, 9.933140054803737 53.4993707802985, 9.933140054803737 53.499184613543875, 9.932400361842632 53.499184613543875))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932770208323184 53.49927769692118),53.49927769692118,9.932770208323184,25,9F5FFWXM+P4,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.49872762959701, 9.932419705053064), (53.49900539517167, 9.932359817563594), (53.4990330128447, 9.933583135020225), (53.49875524727004, 9.933643022509694)]",0.9829515,DEHAM-CTA,"POLYGON ((9.932419705053064 53.49872762959701,9.932359817563594 53.49900539517167,9.933583135020225 53.4990330128447,9.933643022509694 53.49875524727004,9.932419705053064 53.49872762959701))",DEHAM-CTA-OFFR,0.3120261885137895,"POLYGON ((9.932419705053064 53.49872762959701, 9.932359817563594 53.49900539517167, 9.933583135020225 53.4990330128447, 9.933643022509694 53.49875524727004, 9.932419705053064 53.49872762959701))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.933001420036643 53.49888032122085),53.49888032122085,9.933001420036643,26,9F5FFWXM+H6,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.49792208499128, 9.936690850987269), (53.498766355220624, 9.936636495283052), (53.49876787824582, 9.936862414521498), (53.49792360801648, 9.936916770225714)]",0.9809872,DEHAM-CTA,"POLYGON ((9.936690850987269 53.49792208499128,9.936636495283052 53.498766355220624,9.936862414521498 53.49876787824582,9.936916770225714 53.49792360801648,9.936690850987269 53.49792208499128))",DEHAM-CTA-OFFR,0.2778784762932456,"POLYGON ((9.936690850987269 53.49792208499128, 9.936636495283052 53.498766355220624, 9.936862414521498 53.49876787824582, 9.936916770225714 53.49792360801648, 9.936690850987269 53.49792208499128))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.936776632754384 53.498344981618544),53.498344981618544,9.936776632754384,27,9F5FFWXP+8P,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.499120025077985, 9.932423844158857), (53.49917701490083, 9.932423844158857), (53.49917701490083, 9.933128313645623), (53.499120025077985, 9.933128313645623)]",0.9547707,DEHAM-CTA,"POLYGON ((9.932423844158857 53.499120025077985,9.932423844158857 53.49917701490083,9.933128313645623 53.49917701490083,9.933128313645623 53.499120025077985,9.932423844158857 53.499120025077985))",DEHAM-CTA-OFFR,0.3036403618731055,"POLYGON ((9.932423844158857 53.499120025077985, 9.932423844158857 53.49917701490083, 9.933128313645623 53.49917701490083, 9.933128313645623 53.499120025077985, 9.932423844158857 53.499120025077985))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932776078902242 53.49914851998941),53.49914851998941,9.932776078902242,28,9F5FFWXM+M4,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.507953447618895, 9.944223708062196), (53.508018036084785, 9.944223708062196), (53.508018036084785, 9.944388084275776), (53.507953447618895, 9.944388084275776)]",0.9080182,DEHAM-CTA,"POLYGON ((9.944223708062196 53.507953447618895,9.944223708062196 53.508018036084785,9.944388084275776 53.508018036084785,9.944388084275776 53.507953447618895,9.944223708062196 53.507953447618895))",DEHAM-CTA-OFFR,0.9521899876619146,"POLYGON ((9.944223708062196 53.507953447618895, 9.944223708062196 53.508018036084785, 9.944388084275776 53.508018036084785, 9.944388084275776 53.507953447618895, 9.944223708062196 53.507953447618895))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.944305896168986 53.50798574185184),53.50798574185184,9.944305896168986,29,"Kattwykweg 7, 21107 Hamburg, Germany","{'fillColor': 'blue', 'color': 'blue'}",reefer,False
